SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Meteorológica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),ALTITUDE (M),BACIA,DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO,ÍNDICE QUALIDADE*
03G/02C,PONTE DA BARCA,39,41.803,-8.42,176201.226,537097.421,39,LIMA,VIANA DO CASTELO,PONTE DA BARCA,OLEIROS,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-01-1932,-,23-01-2003,-,SIM,ATIVA,15,
03F/01G,PONTE DE LIMA,18,41.768,-8.596,161521.185,533304.495,18,LIMA,VIANA DO CASTELO,PONTE DE LIMA,ARCOZELO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,01-01-1932,-,21-01-2003,-,SIM,ATIVA,15,
24K/01UG,PORTEL,302,38.306,-7.708,237180.145,148849.32,302,GUADIANA,ÉVORA,PORTEL,PORTEL,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,30-12-1938,-,11-07-2001,-,SIM,ATIVA,14,
01H/02G,PORTELINHA,1018,42.052,-8.172,196759.617,564673.055,1018,LIMA,VIANA DO CASTELO,MELGAÇO,CASTRO LABOREIRO,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,13-12-1944,-,07-02-2003,-,SIM,ATIVA,14,
18C/01G,PRAGANÇA,183,39.199,-9.064,119572.949,248285.963,183,RIBEIRAS DO OESTE,LISBOA,CADAVAL,LAMAS,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOGRÁFICA,01-01-1916,-,02-10-2001,-,SIM,ATIVA,14,
15G/02G,REGO DA MURTA,241,39.767,-8.357,180820.745,311028.657,241,TEJO,SANTARÉM,FERREIRA DO ZÊZERE,AREIAS,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,02-09-1934,-,12-10-2001,-,SIM,ATIVA,15,
23L/01G,REGUENGOS,218,38.423199,-7.526897,252936.214,161950.282,218,GUADIANA,ÉVORA,REGUENGOS DE MONSARAZ,REGUENGOS DE MONSARAZ,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOGRÁFICA,01-09-1931,-,04-01-2001,-,SIM,ATIVA,13,
27G/01G,RELÍQUIAS,232,37.7032,-8.482363,169186.3269,81890.055,232,MIRA,BEJA,ODEMIRA,RELÍQUIAS,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOGRÁFICA,01-11-1931,-,11-01-2001,-,SIM,ATIVA,14,
02R/01UG,RIO ONOR,787,41.93743,-6.618101,325648.471,553102.607,787,DOURO,BRAGANÇA,BRAGANÇA,RIO DE ONOR,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOMÉTRICA,09-02-1957,-,26-02-2003,-,SIM,ATIVA,12,
04N/01C,RIO TORTO,322,41.537968,-7.280597,271143.512,507976.134,322,DOURO,VILA REAL,VALPAÇOS,RIO TORTO,Autoridade Nacional da Água,CCDR-NORTE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-09-1913,-,19-05-2003,-,SIM,ATIVA,15,
11I/01G,SANTA COMBA DÃO,289,40.433216,-8.117795,201300.293,384938.42,289,MONDEGO,VISEU,SANTA COMBA DÃO,SÃO JOANINHO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,01-11-1932,-,20-09-2001,-,SIM,ATIVA,14,
04K/02G,SANTA MARTA DA MONTANHA,866,41.500746,-7.745995,232325,503564,866,DOURO,VILA REAL,VILA POUCA DE AGUIAR,SANTA MARTA DA MONTANHA,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,15-10-1938,-,20-05-2003,-,SIM,ATIVA,15,
26L/01UG,SERPA,209,37.942636,-7.603831,246521.751,108565.587,209,GUADIANA,BEJA,SERPA,SERPA (SANTA MARIA),Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,01-10-1931,-,10-01-2001,-,SIM,ATIVA,13,
20B/02UG,SOBRAL DA ABELHEIRA,120,38.998,-9.329,96364,226305,120,RIBEIRAS DO OESTE,LISBOA,MAFRA,SOBRAL DA ABELHEIRA,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,01-10-1979,-,18-10-1997,-,SIM,ATIVA,-,
19C/01UG,SOBRAL DE MONTE AGRAÇO,265,39.021,-9.151,111813,228597,265,RIBEIRAS DO OESTE,LISBOA,SOBRAL DE MONTE AGRAÇO,SOBRAL DE MONTE AGRAÇO,Autoridade Nacional da Água,CCDR-LVT,UDOGRÁFICA,UDOMÉTRICA,01-01-1916,-,14-09-2001,-,SIM,ATIVA,14,
09K/01G,SÁTÃO,570,40.739,-7.736,233556.346,418945.946,570,MONDEGO,VISEU,SÁTÃO,SÁTÃO,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOGRÁFICA,01-10-1959,-,24-09-2001,-,SIM,ATIVA,12,
29I/01UG,SÃO BARNABÉ,259,37.359073,-8.163492,197303.0957,43658.5236,259,ARADE,BEJA,ALMODÔVAR,SÃO BARNABÉ,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,01-10-1964,-,31-01-2001,-,SIM,ATIVA,13,
31J/01C,SÃO BRÁS DE ALPORTEL,334,37.162693,-7.896526,221010,21895,334,RIBEIRAS DO ALGARVE,FARO,SÃO BRÁS DE ALPORTEL,SÃO BRÁS DE ALPORTEL,Autoridade Nacional da Água,CCDR-ALGARVE,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1900,-,13-12-2000,-,SIM,ATIVA,14,
20C/01C,SÃO JULIÃO DO TOJAL,6,38.843,-9.123,114090,208796,6,TEJO,LISBOA,LOURES,SÃO JULIÃO DO TOJAL,Autoridade Nacional da Água,CCDR-LVT,CLIMATOLÓGICA,CLIMATOLÓGICA,01-10-1937,-,05-05-1998,-,SIM,ATIVA,15,
23K/01UG,SÃO MANÇOS,190,38.46,-7.751,233390,165986,190,GUADIANA,ÉVORA,ÉVORA,SÃO MANÇOS,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,07-04-1942,-,13-02-2001,-,SIM,ATIVA,15,
12F/01UG,TENTÚGAL,72,40.241,-8.593,160884.092,363694.33,72,MONDEGO,COIMBRA,MONTEMOR-O-VELHO,TENTÚGAL,Autoridade Nacional da Água,CCDR-CENTRO,UDOGRÁFICA,UDOMÉTRICA,01-12-1953,-,28-09-2001,-,SIM,ATIVA,15,
03N/01G,TRAVANCAS,884,41.827972,-7.305606,268747.546,540166.49,884,DOURO,VILA REAL,CHAVES,TRAVANCAS,Autoridade Nacional da Água,CCDR-NORTE,UDOGRÁFICA,UDOGRÁFICA,01-09-1913,-,20-02-2003,-,SIM,ATIVA,15,
17L/02UG,VALE DO PESO,285,39.345709,-7.647758,241838.616,264300.42,285,TEJO,PORTALEGRE,CRATO,VALE DO PESO,Autoridade Nacional da Água,CCDR-ALENTEJO,UDOGRÁFICA,UDOMÉTRICA,07-11-1931,-,05-01-2001,-,SIM,ATIVA,15,
10H/02G,VARZIELAS,735,40.586277,-8.18807,195348.181,401936.536,735,VOUGA/RIBEIRAS COSTEIRAS,VISEU,OLIVEIRA DE FRADES,VARZIELAS,Autoridade Nacional da Água,-,UDOGRÁFICA,-,-,-,05-02-1998,-,SIM,ATIVA,-,
24I/01C,VIANA DO ALENTEJO,314,38.328469,-8.006624,211057.66,151268.859,314,SADO,ÉVORA,VIANA DO ALENTEJO,VIANA DO ALENTEJO,Autoridade Nacional da Água,CCDR-ALENTEJO,CLIMATOLÓGICA,CLIMATOLÓGICA,01-12-1933,-,04-01-2001,-,SIM,ATIVA,15,
